经度,纬度,风速,台风等级,气压,移动速度,天,小时,台风强度_台风(TY),台风强度_强台风(STY),台风强度_强热带风暴(STS),台风强度_热带低压(TD),台风强度_热带风暴(TS),台风强度_超强台风(Super TY),移动方向_东,移动方向_东北,移动方向_东南,移动方向_北,移动方向_南,移动方向_西,移动方向_西北,移动方向_西南
-0.753669193633597,0.3647157513455826,-0.4185154021949569,-0.3265859489332258,3.0107405915458955e-05,-0.01326779992722074,-1.4026302361278604,1.015128026502571,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.7989366294047263,0.40209063610403284,-0.4185154021949569,-0.3265859489332258,3.0107405915458955e-05,-0.01326779992722074,-1.2860429988548168,-1.6493878301428722,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.83127051209839,0.43946552086248314,-0.6045658661416754,-0.5782334138114289,3.0107405915458955e-05,-0.01326779992722074,-1.2860429988548168,-0.7612158779277244,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.8636043947920538,0.5266735852988669,-0.6045658661416754,-0.5782334138114289,3.0107405915458955e-05,-0.01326779992722074,-1.2860429988548168,0.12695607428742336,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.02292344475679721,-1.092904754233975,-1.100700436666258,-1.0815283435678351,3.0107405915458955e-05,-0.01326779992722074,-0.9362812870356861,0.12695607428742336,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-0.10052476322158939,-1.0679881643950082,-0.9146499727195395,-0.8298808786896321,3.0107405915458955e-05,-0.01326779992722074,-0.9362812870356861,1.015128026502571,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-0.18459285822511579,-1.030613279636558,-0.9146499727195395,-0.8298808786896321,3.0107405915458955e-05,-0.01326779992722074,-0.8196940497626426,-1.6493878301428722,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.26219417668990885,-0.9184886253612073,-0.7906163300883938,-0.8298808786896321,3.0107405915458955e-05,-0.01326779992722074,-0.8196940497626426,-0.7612158779277244,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.3139283889997706,-0.7814473812468901,-0.6045658661416754,-0.5782334138114289,3.0107405915458955e-05,-0.01326779992722074,-0.8196940497626426,0.12695607428742336,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.3462622716934343,-0.6942393168105063,-0.4185154021949569,-0.3265859489332258,3.0107405915458955e-05,-0.01326779992722074,-0.8196940497626426,1.015128026502571,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.37859615438709804,-0.594572957454639,-0.29448175956381123,-0.07493848405502262,3.0107405915458955e-05,-0.01326779992722074,-0.703106812489599,-1.6493878301428722,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
